midwest,actual,pred
1101,0,0.111939573
1102,0.4,0.114631839
1103,0.5,0.102839594
1104,0.1,0.115332344
1105,0,0.114195141
1106,0,0.108424564
1107,0,0.106617963
1108,-0.9,0.106540867
1109,1,0.114379718
1110,0.392857143,0.11167795
1111,0.15224359,0.113131623
1112,0.1,0.112945188
1113,0.5,0.119703571
1114,0,0.10909907
1115,0,0.111777908
1116,0,0.102378634
1117,0,0.112973705
1118,0,0.108113439
1119,0,0.114676838
1120,0.16,0.111262289
1121,0,0.113473557
1122,0.1,0.107228756
1123,0.25,0.117228083
1124,0,0.106481101
1125,0,0.100030111
1126,0.6,0.110364129
1127,0.1,0.103107455
1128,0,0.110668615
1129,0.25,0.106471137
1130,0.075,0.105415515
1131,0.5,0.104641604
1132,0,0.12272253
1133,-0.2,0.108628141
1134,0.5,0.110853557
1135,0.166666667,0.115365132
1136,0.5,0.116364762
1137,0.5,0.11062389
1138,0.75,0.111986697
1139,0,0.112043711
1140,0.216666667,0.109839248
1141,0.6,0.118927528
1142,0,0.118487891
1143,0,0.11629373
1144,-1,0.104590754
1145,0,0.111553093
1146,0,0.098300488
1147,0.35,0.106394545
1148,0,0.118816296
1149,0,0.113348244
1150,0.45,0.113642307
1151,-0.316666667,0.110247778
1152,0,0.110018445
1153,0.866666667,0.116519746
1154,0,0.112932728
1155,0.5,0.104697012
1156,0,0.114340565
1157,0.1,0.104212428
1158,0.1,0.11062389
1159,0,0.119662696
1160,0,0.112930206
1161,-1,0.112322436
1162,-0.1,0.100197776
1163,0,0.111743622
1164,0.5,0.1077031
1165,0,0.10686743
1166,0,0.10509246
1167,-0.3,0.111889653
1168,-0.4,0.108468624
1169,0,0.112135887
1170,0,0.108647725
1171,-0.155555556,0.107661185
1172,0,0.103224031
1173,0,0.113830171
1174,-0.85,0.090438666
1175,-0.3,0.114265946
1176,0,0.102788892
1177,0.8,0.109182233
1178,0,0.109518827
1179,0.8,0.106538376
1180,0.39,0.109810882
1181,0,0.110263468
1182,-0.2,0.111135762
1183,0.8,0.113758515
1184,0.041666667,0.119956252
1185,0,0.109355428
1186,0.25,0.107652411
1187,0,0.110966183
1188,0,0.110969885
1189,0,0.114341276
1190,0,0.117988486
1191,0,0.100999168
1192,0,0.116574178
