,0
602,0.0
603,0.2333333333333333
604,0.0
605,-0.3
606,-0.16666666666666666
607,0.0
608,0.0
609,0.0
610,-0.3
611,0.0
612,0.125
613,0.0
614,0.0
615,0.0
616,0.13636363636363635
617,0.0
618,-0.0029761904761904934
619,0.7
620,0.0
621,0.10952380952380954
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.06818181818181818
629,1.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.39285714285714285
637,0.4681818181818182
638,0.0
639,0.49318181818181817
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.3181818181818182
646,0.0
647,0.0
648,0.13636363636363635
649,0.2
650,0.0
651,0.0
652,0.0
653,0.18333333333333335
654,0.0
655,0.16666666666666669
656,0.0
657,0.6000000000000001
658,0.8
659,0.0
660,-0.10416666666666669
661,0.4
662,0.0
663,-0.525
664,0.0
665,0.13636363636363635
666,0.0
667,0.0
668,-0.22083333333333333
669,0.0
670,0.1
671,0.0
672,0.0
673,0.5
674,0.0
675,0.0
676,1.0
677,0.4
678,0.25
679,-0.5
680,0.175
681,0.016666666666666663
682,0.0
683,0.0
684,0.225
685,0.2333333333333333
686,0.0
687,0.3
688,0.30952380952380953
689,0.8
690,-0.2
691,0.5
692,-0.05
693,-0.05
694,-0.16666666666666666
695,1.0
696,0.13636363636363635
697,0.0
698,0.0
699,0.7
700,0.18333333333333332
701,0.1
702,0.0
703,0.0
704,0.0
705,0.25
706,0.0
707,0.1
708,0.1736111111111111
709,0.0
710,0.0
711,-0.5
712,-0.4458333333333333
713,1.0
714,0.25
715,0.0
716,0.4
717,0.0
718,0.0
719,0.0
720,0.0
721,0.03148148148148147
722,0.0
723,0.425
724,0.0
725,0.0
726,0.0
727,0.5
728,-0.4
729,0.0
730,0.0
731,0.25
732,0.0
733,0.0
734,0.3333333333333333
735,-0.8
736,0.05
737,0.0
738,0.0
739,0.3
740,0.0
741,0.35
742,0.0
743,0.0
744,0.0
745,0.0
746,-0.07142857142857142
747,0.5
748,-0.55
749,0.0
750,0.2
751,0.0
752,0.02666666666666666
753,0.0
754,-0.2601851851851852
755,0.0
756,-0.07500000000000001
757,0.0
758,0.0
759,0.0
760,0.0
761,-0.1
762,-0.25
763,0.0
764,0.078125
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.25
771,0.05
772,-0.16666666666666666
773,0.0
774,0.0
775,0.19999999999999998
776,1.0
777,0.0
778,0.5
779,0.6
780,0.0
781,0.0
782,-0.22000000000000003
783,-0.2
784,0.0
785,0.0
786,0.0
787,0.4163636363636363
788,1.0
789,0.0
790,0.0
791,-0.7
