borough,block,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,"TYPE(1:res,2:com,3:mix)",grid_x,grid_y
1,563,8175,114000,1900,109000000,3,453,547
1,569,2583,5278,1900,26000000,3,450,548
1,569,2583,5278,1900,26000000,3,450,548
1,570,1088,3128,1899,4850000,3,451,549
1,570,1088,3128,1899,4850000,3,451,549
1,573,2030,6016,1900,16500000,3,444,548
1,573,1968,5844,1900,22000000,3,444,548
1,573,2030,6016,1900,16500000,3,444,548
1,573,1968,5844,1900,22000000,3,444,548
1,574,2085,4488,1899,11800000,3,446,549
1,574,2511,8589,1900,31000000,3,446,549
1,574,2085,4488,1899,11800000,3,446,549
1,574,2511,8589,1900,31000000,3,446,549
1,575,2452,8628,1900,8500000,3,447,550
1,575,2452,8628,1900,8500000,3,447,550
1,576,4336,46020,2011,78000000,3,449,550
1,576,4336,46020,2011,78000000,3,449,550
1,578,10207,120592,1928,9912500,3,429,527
1,578,10207,120592,1928,9912500,3,429,527
1,584,1586,6804,1841,7400000,3,432,541
1,584,600,1600,1901,5440000,3,432,541
1,584,1586,6804,1841,7400000,3,432,541
1,584,600,1600,1901,5440000,3,432,541
1,585,384,1152,1901,1375000,3,430,543
1,585,384,1152,1901,1375000,3,430,543
1,585,384,1152,1901,1375000,3,430,543
1,585,384,1152,1901,1375000,3,430,543
1,587,840,924,1899,4900000,3,432,542
1,587,840,924,1899,4900000,3,432,542
1,590,1840,4519,1920,11000000,3,436,544
1,590,1840,4519,1920,11000000,3,436,544
1,591,1592,6375,1910,9900000,3,435,545
1,591,1592,6375,1910,9900000,3,435,545
1,603,2686,2684,1954,15650000,3,428,542
1,603,2686,2684,1954,15650000,3,428,542
1,606,5450,9941,1855,30908064,3,439,553
1,606,1025,2880,1915,5000000,3,439,553
1,606,5450,9941,1855,30908064,3,439,553
1,606,1025,2880,1915,5000000,3,439,553
1,608,2065,3495,1899,15000000,3,441,555
1,608,2065,3495,1899,15000000,3,441,555
1,609,2000,3280,1901,7700000,3,444,555
1,609,1191,2961,1910,820000,3,444,555
1,609,2000,3280,1901,7700000,3,444,555
