borough,block,longitude,latitude
BX,4632,-73.8635077894,40.8742700559
BX,3043,-73.8961411146,40.8478579198
SI,309,-74.1198993743,40.6275197223
SI,5726,-74.1827379029,40.5644280625
SI,504,-74.0766295997,40.6343319713
SI,261,-74.1050275454,40.6293236186
SI,3684,-74.0962049736,40.578368613
SI,3759,-74.0888370484,40.5786157713
SI,6029,-74.2007266265,40.5530886959
SI,4043,-74.1039797155,40.5647296392
SI,4623,-74.1492075535,40.5548333626
BX,2958,-73.8866386247,40.8402881864
BX,2809,-73.9044544698,40.8493385997
BX,2736,-73.8947587803,40.8132446522
BX,4942,-73.8338485524,40.8866233057
BX,5437,-73.8187942569,40.8262565533
SI,8035,-74.2364208924,40.5140705335
SI,3185,-74.0893767565,40.5986967053
BX,3195,-73.9063424977,40.8564727373
BX,2555,-73.9134231457,40.8096749312
QN,12111,-73.7900868751,40.6690815606
SI,780,-74.135058131,40.6045837493
QN,8771,-73.7088839834,40.7385640246
SI,3328,-74.0898918404,40.5932954421
QN,6967,-73.8037982224,40.7259508381
SI,5293,-74.1559737263,40.536993798
QN,4081,-73.848182008,40.7823223831
QN,13571,-73.7376003738,40.6611256616
QN,6487,-73.8248388771,40.7312689642
QN,5374,-73.8178883304,40.7585187133
QN,8602,-73.718409994,40.7340495852
QN,9052,-73.8578651117,40.6824269283
QN,15952,-73.7683318679,40.5967685153
SI,5653,-74.1723557545,40.5612805918
QN,8202,-73.7376054058,40.759058159
QN,9687,-73.8102785011,40.7037666248
QN,11973,-73.7998295524,40.6835129532
SI,5028,-74.1309174402,40.5547214456
SI,3873,-74.0900882579,40.5720637521
SI,2925,-74.0804116834,40.6149739073
QN,10032,-73.804118319,40.6970126273
QN,9297,-73.838986414,40.6940301572
