type[com/res/mix],borough,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,# of bus_stop,# of subway_station,# of FELONY,# of VIOLATION,# of MISDEMEANOR,total # of poi,poi type 1,poi type 2,poi type 3,poi type 4,poi type 5,poi type 6,poi type 7,poi type 8,poi type 9,poi type 10,poi type 11,poi type 12,poi type 13,# of roads,total width of raods
1,1,1418,3711,1900,4455000,27,3,1423,826,3060,88,15,12,22,7,5,2,3,0,5,2,14,0,1,235,8107
0,1,47680,244527,1954,111500000,35,4,1474,626,2600,123,29,21,20,8,9,4,10,0,5,2,13,2,0,231,7938
2,1,1275,3970,1909,3000000,33,3,2683,1224,6246,158,37,26,19,11,5,2,11,2,18,6,15,2,4,260,8771
1,1,1998,4144,1910,3300000,31,2,2604,1317,5925,179,43,34,25,11,5,4,8,2,30,3,10,1,3,247,8497
0,1,2998,4592,1926,250000,25,2,2380,1238,6027,170,35,26,23,20,7,3,8,2,30,1,12,1,2,256,8889
0,1,2523,5808,1910,4510500,30,3,2211,1022,4893,122,31,17,16,7,3,3,11,1,10,5,12,3,3,245,8349
0,1,5620,17637,1966,407952,29,3,2796,1411,6421,161,39,34,23,14,3,4,9,2,17,3,11,1,1,247,8340
1,1,1549,3796,1910,2300000,25,2,2203,1278,4840,162,33,31,19,16,6,4,5,2,24,8,10,3,1,238,8443
1,1,900,2160,1899,2345000,29,2,1701,807,3526,134,35,14,19,8,7,3,9,0,11,5,19,3,1,225,7798
0,1,12475,11890,1891,28500000,31,3,2198,1263,5696,149,38,33,20,6,8,3,10,1,8,3,15,2,2,249,8272
0,1,4000,7400,1900,2000000,31,2,2556,1420,6380,150,40,29,16,10,5,3,11,1,11,5,16,2,1,240,7932
0,1,3748,11982,1916,4000000,25,2,2309,1324,5406,147,37,33,23,9,4,5,10,1,13,6,5,0,1,256,8798
0,1,1232,1245,1992,550000,32,2,1829,912,4210,146,36,27,17,16,7,4,8,0,7,3,18,3,0,264,8713
0,1,21814,43225,1905,48000000,34,3,1957,1103,4681,124,30,28,14,8,7,3,6,0,7,5,15,1,0,284,9541
0,1,9992,1375,1960,9500000,29,3,2208,1240,4611,163,29,24,20,16,6,3,7,2,36,3,13,3,1,246,8685
0,1,13875,322,1972,6750000,24,3,1692,985,3819,115,27,11,11,9,5,1,6,4,24,3,10,3,1,228,7685
1,1,1799,3060,1910,1755000,30,3,2252,1288,4887,169,33,26,19,16,5,3,5,2,35,7,14,3,1,231,8172
1,1,1782,2861,1910,1790000,30,3,2354,1345,5059,160,28,27,17,15,5,1,5,2,37,6,13,3,1,236,8286
1,1,1815,3442,1920,2110000,30,3,2366,1336,5066,154,27,23,19,14,4,1,5,3,35,6,13,3,1,235,8218
1,1,1915,3952,1920,2250000,30,3,2366,1336,5066,154,27,23,19,14,4,1,5,3,35,6,13,3,1,235,8218
0,1,19910,1800,1963,16000000,24,5,1982,1234,4745,115,25,26,16,4,2,2,7,2,22,1,6,2,0,278,9518
1,1,1136,2322,1899,1925000,28,4,2263,1281,5289,129,22,26,18,10,6,1,10,1,13,10,8,3,1,274,9435
1,1,2000,3360,1899,1000000,28,3,2408,1439,5655,147,25,30,17,8,6,0,11,3,22,10,9,5,1,271,9434
1,1,1799,6264,1920,2900000,30,4,2260,1279,5371,111,24,24,18,4,4,2,9,1,9,10,2,3,1,280,9740
1,1,1699,2915,1899,2100000,26,3,2192,1243,5226,110,26,17,25,2,5,0,8,1,10,9,3,3,1,281,9761
1,1,1898,3876,1901,950000,25,4,2255,1368,5469,119,26,23,22,3,3,0,9,1,14,8,6,3,1,297,10045
1,1,1340,4944,1899,3395000,28,5,2212,1290,5210,120,26,23,24,7,1,1,9,2,19,3,3,2,0,291,9665
0,1,6072,11500,1952,8000000,28,5,2212,1290,5210,120,26,23,24,7,1,1,9,2,19,3,3,2,0,291,9665
1,1,1499,2845,1899,2260000,26,3,1705,927,4075,107,20,27,17,4,4,2,7,0,9,8,7,2,0,254,8735
1,1,1249,3440,1901,2350000,16,2,1464,828,3613,77,12,17,13,3,2,0,5,0,11,4,8,2,0,245,8274
1,1,3700,2130,1901,470000,11,2,818,444,2292,51,18,9,10,1,0,2,2,0,1,5,2,0,1,167,5501
1,1,1219,1224,1920,307242,11,2,818,444,2292,51,18,9,10,1,0,2,2,0,1,5,2,0,1,167,5501
1,1,7373,3448,1901,650000,11,2,818,444,2292,51,18,9,10,1,0,2,2,0,1,5,2,0,1,167,5501
1,2,2000,2356,1901,602000,7,2,1632,775,3897,88,21,12,14,12,4,8,7,3,1,1,0,5,0,211,7259
1,2,2000,2356,1901,450000,7,2,1632,775,3897,88,21,12,14,12,4,8,7,3,1,1,0,5,0,211,7259
2,2,1667,2250,1910,275000,10,2,1763,809,4167,90,18,13,14,15,3,7,10,2,1,1,0,6,0,221,7570
2,2,1505,1505,1931,200000,13,2,2477,1239,6268,137,29,22,19,24,6,8,12,3,2,1,4,7,0,239,8094
1,2,1667,2376,1910,585000,17,3,3150,1356,7156,144,34,26,21,22,5,8,10,2,2,1,4,6,3,256,8765
1,2,1667,2376,1910,425000,17,3,3150,1356,7156,144,34,26,21,22,5,8,10,2,2,1,4,6,3,256,8765
1,2,2500,1672,1901,450000,19,3,3178,1295,7536,131,30,24,20,20,5,8,8,2,2,1,4,5,2,250,8517
1,2,1400,952,1899,420000,19,3,3178,1295,7536,131,30,24,20,20,5,8,8,2,2,1,4,5,2,250,8517
1,2,1500,1840,1901,320000,18,3,3134,1272,7422,130,29,25,20,19,6,8,8,1,1,1,4,6,2,248,8338
1,2,1600,1998,1901,866666,5,1,1074,502,2539,57,9,7,10,11,4,6,4,1,2,0,0,3,0,185,6274
2,2,2120,2280,1910,975642,14,3,2411,1154,6019,125,27,19,19,20,6,8,11,2,2,1,4,6,0,243,8336
2,2,2175,3670,1910,1250000,12,4,2171,1020,5226,104,19,16,15,20,3,8,10,2,2,1,4,4,0,238,8160
2,2,1127,2139,1910,800357,12,4,2171,1020,5226,104,19,16,15,20,3,8,10,2,2,1,4,4,0,238,8160
2,2,2777,7285,1931,2075000,12,4,2233,1028,5701,99,19,15,14,19,3,8,8,2,2,1,4,4,0,245,8300
2,2,10000,16205,1931,7500000,11,2,1536,668,4559,66,11,7,8,13,3,3,7,0,6,0,6,2,0,215,7350
2,2,50400,48952,1958,11000000,10,2,1584,794,3971,86,18,13,10,12,4,7,10,0,3,1,4,4,0,228,7726
2,2,3921,3887,1931,2490000,10,2,1584,794,3971,86,18,13,10,12,4,7,10,0,3,1,4,4,0,228,7726
0,2,2500,5000,1955,925000,7,4,1411,680,3513,75,15,13,9,8,2,6,10,0,3,1,4,4,0,234,7812
2,2,6550,14400,1931,3795499,11,4,1501,707,3894,83,11,9,8,10,3,4,11,0,17,0,7,3,0,222,7547
1,2,1842,2968,1901,170000,5,2,1018,505,2692,61,13,13,8,6,2,3,6,0,3,0,4,3,0,224,7660
2,2,12635,19800,1954,6000000,11,4,1147,551,2722,65,13,9,5,5,2,6,9,0,4,0,9,3,0,257,8653
2,2,10000,10000,1931,5600000,12,4,1137,527,2614,72,11,8,8,4,2,5,9,0,16,0,7,2,0,251,8453
2,2,9200,8993,1931,5000000,12,4,1137,527,2614,72,11,8,8,4,2,5,9,0,16,0,7,2,0,251,8453
0,2,10000,11200,1931,1910000,3,2,862,405,1899,53,11,11,6,6,2,3,6,0,3,0,2,3,0,220,7546
2,2,6005,33208,1931,4950000,16,2,2693,1079,6048,119,30,15,29,15,5,4,8,1,4,3,3,2,0,302,10188
2,2,10790,9000,1931,1620000,12,1,1673,956,3949,109,26,17,19,14,3,3,7,0,7,4,9,0,0,254,8620
2,2,4502,9756,1931,1000000,12,1,1673,956,3949,109,26,17,19,14,3,3,7,0,7,4,9,0,0,254,8620
1,2,1392,1206,1899,375000,14,0,1785,990,4317,115,30,15,23,8,4,3,7,0,7,5,13,0,0,245,8409
1,2,695,1152,1899,370000,14,0,1785,990,4317,115,30,15,23,8,4,3,7,0,7,5,13,0,0,245,8409
1,2,695,1152,1899,138000,14,0,1785,990,4317,115,30,15,23,8,4,3,7,0,7,5,13,0,0,245,8409
2,2,5000,24550,1931,2085000,16,2,2782,1120,6787,120,25,15,26,20,9,4,9,1,4,3,2,2,0,286,9578
2,2,8750,7600,1931,1133275,11,0,2113,1186,5087,123,31,25,33,6,1,2,7,0,3,4,9,1,1,234,8137
2,2,5000,6960,1901,556800,18,1,2506,1027,5779,100,16,15,17,20,6,5,9,1,3,3,3,2,0,253,8574
1,2,2958,1984,1899,250000,13,3,2724,1093,6481,121,24,24,16,17,7,6,12,0,2,3,6,4,0,242,8137
